All goals are:  ['get[wood]', 'make[stick]', 'get[iron]', 'make[axe]', 'get[gem]']
Environment: get[gem] | Task: Task(goal=(1, 12), steps=(2, 8, 4, 7, 11))
Currently working on goal -  get[wood]
ingredient_list -  []
Current actions -  {'DOWN': 0, 'UP': 1, 'LEFT': 2, 'RIGHT': 3, 'USE': 4}
Built new networks
/home/ksridhar/anaconda3/envs/DL_env/lib/python3.8/site-packages/torch/nn/modules/container.py:119: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
At episode -  2000 Exploration_number - 0.0 Average reward - 0.930
At episode -  2020 Exploration_number - 0.0 Average reward - 0.955
At episode -  2040 Exploration_number - 0.0 Average reward - 0.890
At episode -  2060 Exploration_number - 0.0 Average reward - 0.955
At episode -  2080 Exploration_number - 0.0 Average reward - 0.965
At episode -  2100 Exploration_number - 0.0 Average reward - 0.965
At episode -  2120 Exploration_number - 0.0 Average reward - 0.925
At episode -  2140 Exploration_number - 0.0 Average reward - 0.960
At episode -  2160 Exploration_number - 0.0 Average reward - 0.945
At episode -  2180 Exploration_number - 0.0 Average reward - 0.925
At episode -  2200 Exploration_number - 0.0 Average reward - 0.975
At episode -  2220 Exploration_number - 0.0 Average reward - 0.895
At episode -  2240 Exploration_number - 0.0 Average reward - 0.950
At episode -  2260 Exploration_number - 0.0 Average reward - 0.950
At episode -  2280 Exploration_number - 0.0 Average reward - 0.930
At episode -  2300 Exploration_number - 0.0 Average reward - 0.955
At episode -  2320 Exploration_number - 0.0 Average reward - 0.940
At episode -  2340 Exploration_number - 0.0 Average reward - 0.950
At episode -  2360 Exploration_number - 0.0 Average reward - 0.940
At episode -  2380 Exploration_number - 0.0 Average reward - 0.965
At episode -  2400 Exploration_number - 0.0 Average reward - 0.970
At episode -  2420 Exploration_number - 0.0 Average reward - 0.970
At episode -  2440 Exploration_number - 0.0 Average reward - 0.975
At episode -  2460 Exploration_number - 0.0 Average reward - 0.980
At episode -  2480 Exploration_number - 0.0 Average reward - 0.915
At episode -  2500 Exploration_number - 0.0 Average reward - 0.965
At episode -  2520 Exploration_number - 0.0 Average reward - 0.945
At episode -  2540 Exploration_number - 0.0 Average reward - 0.980
At episode -  2560 Exploration_number - 0.0 Average reward - 0.915
At episode -  2580 Exploration_number - 0.0 Average reward - 0.920
At episode -  2600 Exploration_number - 0.0 Average reward - 0.980
At episode -  2620 Exploration_number - 0.0 Average reward - 0.965
At episode -  2640 Exploration_number - 0.0 Average reward - 0.970
At episode -  2660 Exploration_number - 0.0 Average reward - 0.960
At episode -  2680 Exploration_number - 0.0 Average reward - 0.985
At episode -  2700 Exploration_number - 0.0 Average reward - 0.965
At episode -  2720 Exploration_number - 0.0 Average reward - 0.980
At episode -  2740 Exploration_number - 0.0 Average reward - 0.955
At episode -  2760 Exploration_number - 0.0 Average reward - 0.985
At episode -  2780 Exploration_number - 0.0 Average reward - 0.960
At episode -  2800 Exploration_number - 0.0 Average reward - 0.930
At episode -  2820 Exploration_number - 0.0 Average reward - 0.915
At episode -  2840 Exploration_number - 0.0 Average reward - 0.940
At episode -  2860 Exploration_number - 0.0 Average reward - 0.980
At episode -  2880 Exploration_number - 0.0 Average reward - 0.965
At episode -  2900 Exploration_number - 0.0 Average reward - 0.985
At episode -  2920 Exploration_number - 0.0 Average reward - 0.965
At episode -  2940 Exploration_number - 0.0 Average reward - 0.965
At episode -  2960 Exploration_number - 0.0 Average reward - 0.965
At episode -  2980 Exploration_number - 0.0 Average reward - 0.955
At episode -  3000 Exploration_number - 0.0 Average reward - 0.965
At episode -  3020 Exploration_number - 0.0 Average reward - 0.980
At episode -  3040 Exploration_number - 0.0 Average reward - 0.990
At episode -  3060 Exploration_number - 0.0 Average reward - 0.975
At episode -  3080 Exploration_number - 0.0 Average reward - 0.995
At episode -  3100 Exploration_number - 0.0 Average reward - 0.980
At episode -  3120 Exploration_number - 0.0 Average reward - 0.960
At episode -  3140 Exploration_number - 0.0 Average reward - 0.980
At episode -  3160 Exploration_number - 0.0 Average reward - 0.985
At episode -  3180 Exploration_number - 0.0 Average reward - 0.970
At episode -  3200 Exploration_number - 0.0 Average reward - 0.985
At episode -  3220 Exploration_number - 0.0 Average reward - 0.960
At episode -  3240 Exploration_number - 0.0 Average reward - 0.935
At episode -  3260 Exploration_number - 0.0 Average reward - 0.970
At episode -  3280 Exploration_number - 0.0 Average reward - 0.980
At episode -  3300 Exploration_number - 0.0 Average reward - 0.975
At episode -  3320 Exploration_number - 0.0 Average reward - 0.945
At episode -  3340 Exploration_number - 0.0 Average reward - 0.960
At episode -  3360 Exploration_number - 0.0 Average reward - 0.985
At episode -  3380 Exploration_number - 0.0 Average reward - 0.965
At episode -  3400 Exploration_number - 0.0 Average reward - 0.970
At episode -  3420 Exploration_number - 0.0 Average reward - 0.975
At episode -  3440 Exploration_number - 0.0 Average reward - 0.970
At episode -  3460 Exploration_number - 0.0 Average reward - 0.955
At episode -  3480 Exploration_number - 0.0 Average reward - 0.980
At episode -  3500 Exploration_number - 0.0 Average reward - 0.980
At episode -  3520 Exploration_number - 0.0 Average reward - 0.955
At episode -  3540 Exploration_number - 0.0 Average reward - 0.960
At episode -  3560 Exploration_number - 0.0 Average reward - 0.990
At episode -  3580 Exploration_number - 0.0 Average reward - 0.975
At episode -  3600 Exploration_number - 0.0 Average reward - 0.995
At episode -  3620 Exploration_number - 0.0 Average reward - 0.910
At episode -  3640 Exploration_number - 0.0 Average reward - 0.990
At episode -  3660 Exploration_number - 0.0 Average reward - 0.990
At episode -  3680 Exploration_number - 0.0 Average reward - 0.975
At episode -  3700 Exploration_number - 0.0 Average reward - 0.955
At episode -  3720 Exploration_number - 0.0 Average reward - 0.965
At episode -  3740 Exploration_number - 0.0 Average reward - 0.990
At episode -  3760 Exploration_number - 0.0 Average reward - 0.990
At episode -  3780 Exploration_number - 0.0 Average reward - 0.970
At episode -  3800 Exploration_number - 0.0 Average reward - 0.990
At episode -  3820 Exploration_number - 0.0 Average reward - 0.980
At episode -  3840 Exploration_number - 0.0 Average reward - 0.980
At episode -  3860 Exploration_number - 0.0 Average reward - 0.970
At episode -  3880 Exploration_number - 0.0 Average reward - 0.990
